respondent_id,persona,lead_label,q1_role,q2_org_type,q3_fleet_size,q4_experience_years,q5_location,q6_maintenance_strategy,q7_aog_per_month,q8_annual_mro_spend,annual_spend_usd,q9_engines_apu,q9_landing_gear,q9_avionics,q9_hydraulics,q9_airframe_fuselage,q9_cabin_environmental,q9_fuel_systems,q9_electrical,q10_iot_sensors,q10_acars_qar_analysis,q10_ai_ml_analytics,q10_digital_twin,q10_cloud_mro_software,q10_erp_sap,q10_none,q11_digital_maturity,q12_main_barrier,q13_real-time_alerts,q13_rul_prediction,q13_digital_twin,q13_auto_work_orders,q13_parts_inventory_forecasting,q13_fleet_health_ranking,q13_compliance_reporting,q13_api_erp_integration,q14_deployment_pref,q15_budget_per_aircraft,budget_per_aircraft_usd,q16_pricing_model,q17_decision_maker,q18_procurement_cycle,q19_engine_health_kit,q19_structural_health_kit,q19_avionics_module,q19_ai_analytics_dashboard,q19_digital_twin,q19_compliance_reporting,q19_parts_inventory_optimizer,q19_training_&_onboarding,q20_reduce_aog,q20_extend_component_life,q20_lower_mro_cost,q20_improve_dispatch,q20_regulatory_compliance,q20_parts_inventory_control,q20_reduce_oem_dependency,q21_current_tool_satisfaction,q22_switching_likelihood,q23_aircraft_type,q24_survey_source,q26_attitude_early_adopter,q26_attitude_wait_for_peers,q26_attitude_cost_over_safety,q26_attitude_leadership_champ,q26_attitude_switch_for_ai,q27_airbus_skywise,q27_boeing_analytx,q27_ge_aviation_digital,q27_rr_intelligentengine,q27_lufthansa_aviatar,q27_amos_ramco,q27_none,q27_not_aware,q28_vendor_satisfaction,q29_data_comfort,q30_uae_gcc_data_residency,q30_data_repatriation_on_exit,q30_no_ai_training_on_our_data,q30_iso27001_soc2,q30_gcaa_easa_compliance,q30_end-to-end_encryption,q30_on-prem_option,q30_none_-_trust_saas,q31_min_roi,q32_approval_metric
UAE-0001,Tech_Forward_Carrier,Warm,MRO Engineer/Technician,Commercial airline (full-service),11-30,11-20 years,Sharjah/Northern Emirates,Full predictive + digital twin,0,$500K-$2M,1343133,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,8,No barriers,1,1,1,0,0,0,0,0,No preference,$1K-$3K,2233,Per-aircraft/year,Joint committee,3-6 months,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,7,6,Boeing wide (B777/B787),Word of mouth,4,3,3,4,4,1,1,0,1,0,0,0,0,Dissatisfied - hard to integrate,7,0,0,1,1,1,1,0,0,ROI not primary,Cost saved per aircraft/yr
UAE-0002,Tech_Forward_Carrier,Warm,Director/VP Operations,Aircraft leasing,1-10,6-10 years,Dubai,Predictive (some AI),1-2,$2M-$10M,5580843,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,9,No barriers,0,1,0,0,0,1,0,1,Full cloud (SaaS),>$20K,31856,Outcome-based,Joint committee,1-3 months,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,2,5,Boeing wide (B777/B787),Email invite,3,2,2,3,5,0,1,1,0,0,1,0,0,Dissatisfied - poor support,7,0,1,0,1,1,0,0,0,3x in 12 months,Dispatch reliability %
UAE-0003,Tech_Forward_Carrier,Hot,Fleet/Maintenance Manager,Defence/government,81-200,6-10 years,Abu Dhabi,Condition-based,1-2,$10M-$50M,30303876,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,7,Legacy integration,0,0,1,1,1,0,0,0,Hybrid,>$20K,25256,Fixed monthly SaaS,Head of Maintenance/CAMO,1-3 months,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,3,7,Boeing wide (B777/B787),Email invite,4,1,2,4,5,1,0,1,0,1,1,0,0,Dissatisfied - poor support,7,0,0,0,0,0,0,1,0,Strategic value,Cost saved per aircraft/yr
UAE-0004,Tech_Forward_Carrier,Warm,C-Suite,Commercial airline (full-service),31-80,11-20 years,Other GCC,Condition-based,10+,$500K-$2M,1051679,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,9,Regulatory concerns,1,1,1,0,0,0,0,0,No preference,$1K-$3K,1560,Fixed monthly SaaS,Head of Maintenance/CAMO,6-12 months,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,5,3,Airbus narrow (A320),LinkedIn/social media,3,2,3,4,4,1,1,0,0,1,0,0,0,No platform,7,0,1,0,1,1,0,0,0,5x+,Cost saved per aircraft/yr
UAE-0005,Tech_Forward_Carrier,Hot,MRO Engineer/Technician,Commercial airline (full-service),81-200,20+ years,Abu Dhabi,Full predictive + digital twin,1-2,$2M-$10M,4669330,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,8,No barriers,0,0,0,1,0,1,0,0,Hybrid,>$20K,25678,Fixed monthly SaaS,Procurement/Finance,<1 month,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,4,8,Airbus wide (A330/A350/A380),Aviation publication,3,2,2,4,4,1,0,1,0,1,0,0,0,Dissatisfied - poor accuracy,9,0,1,0,1,1,1,0,0,1.5x,Component lifespan extension
UAE-0006,Tech_Forward_Carrier,Warm,C-Suite,Charter/private aviation,81-200,6-10 years,Dubai,Predictive (some AI),1-2,$10M-$50M,34190760,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,7,High upfront cost,1,1,1,0,0,0,0,0,Hybrid,>$20K,26441,Fixed monthly SaaS,C-Suite,3-6 months,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,5,7,Boeing narrow (B737),Industry event,4,2,2,3,5,1,0,1,0,0,1,0,0,No platform,9,0,1,1,0,1,0,0,0,3x in 12 months,Component lifespan extension
UAE-0007,Tech_Forward_Carrier,Exploring,C-Suite,Charter/private aviation,31-80,20+ years,Abu Dhabi,Full predictive + digital twin,3-5,$2M-$10M,5935190,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,7,Cybersecurity,1,1,1,0,0,0,0,0,Hybrid,$8K-$20K,14911,Hardware lease + software,Head of Maintenance/CAMO,<1 month,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,5,4,Airbus narrow (A320),Industry event,5,2,4,2,5,1,0,1,0,0,1,0,0,Dissatisfied - poor accuracy,7,1,1,1,1,0,1,0,0,2x,AOG reduction %
UAE-0008,Tech_Forward_Carrier,Hot,Director/VP Operations,Defence/government,31-80,11-20 years,Other GCC,Predictive (some AI),3-5,$10M-$50M,28654466,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,9,Cybersecurity,1,1,0,0,1,0,0,0,Hybrid,$1K-$3K,1284,Per-aircraft/year,Joint committee,3-6 months,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,2,8,Airbus wide (A330/A350/A380),Email invite,5,1,2,4,5,0,1,0,0,0,0,0,0,Satisfied but expensive,8,0,1,0,1,1,0,0,1,ROI not primary,AOG reduction %
UAE-0009,Tech_Forward_Carrier,Hot,IT/Digital Lead,Commercial airline (full-service),81-200,11-20 years,Dubai,Reactive,6-10,$2M-$10M,5523215,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,9,Cybersecurity,1,1,1,0,0,0,0,0,Hybrid,$3K-$8K,5596,Fixed monthly SaaS,Head of Maintenance/CAMO,3-6 months,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,4,7,Airbus wide (A330/A350/A380),Email invite,4,2,1,5,4,1,0,0,1,1,0,0,0,Dissatisfied - poor accuracy,7,1,0,1,1,0,1,0,1,5x+,Dispatch reliability %
UAE-0010,Tech_Forward_Carrier,Warm,Fleet/Maintenance Manager,Low-cost carrier,31-80,6-10 years,Other GCC,Full predictive + digital twin,1-2,$2M-$10M,5788871,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,7,Cybersecurity,1,1,0,0,0,0,0,1,Full cloud (SaaS),$3K-$8K,5083,Outcome-based,Joint committee,<1 month,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,4,5,Airbus narrow (A320),LinkedIn/social media,4,2,4,4,4,0,0,0,0,0,0,0,1,Dissatisfied - poor support,7,0,0,0,1,0,0,0,1,2x,Cost saved per aircraft/yr
